polo,0
FERNANDOPOLIS,3
ANDRADINA,4
REDENCAO DA SERRA,4
PERUIBE,4
OURINHOS,4
SAO VICENTE - INSULAR,4
JOSE BONIFACIO,4
ITAJOBI,4
SAO VICENTE - QUARENTENARIO,4
CRUZEIRO,4
CAMPOS DO JORDAO,4
CUBATAO,4
IGARATA,5
ITAPETININGA,5
LUCELIA,6
CERQUEIRA CESAR,6
SAO JOAO DA BOA VISTA,7
PITANGUEIRAS,7
MORRO AGUDO,7
SANTANA DE PARNAIBA,8
MAIRIPORA,8
PRESIDENTE EPITACIO,8
CAJAMAR,8
AVARE,9
IGARACU DO TIETE,9
BRAGANCA PAULISTA,10
JUQUITIBA,11
JANDIRA,13
MAUA,19
MONTE MOR,20
PRESIDENTE VENCESLAU,24
MAUA,79
MAUA,81
